0	2.937533655724993	2.881340550750043	3.0008869823449853
0.1	2.938494799060516	2.882562362295467	3.001821344113262
0.2	2.9394559423960387	2.883784173840891	3.0027557058815386
0.3	2.941142865567031	2.885944450179504	3.0043699739118774
0.4	2.9436884992112677	2.8892327485851133	3.0067541114739997
0.5	2.9473705457879396	2.894130928244887	3.0100586789736403
0.6	2.952563667973968	2.9011256303290076	3.014538203042748
0.7	2.9599884103719787	2.9113606122302897	3.0205708798136883
0.8	2.970842271452593	2.9264223951462536	3.0287706090448294
0.9	2.987243316192745	2.949014757062738	3.04002967953725
0.99	3.0054192293304074	2.970627428039877	3.049568348994802
